Time: 9h 24m, Epoch [14/20],Loss: 0.1869
Time: 9h 26m, Epoch [14/20],Loss: 0.1910
Time: 9h 27m, Epoch [14/20],Loss: 0.2227
Time: 9h 28m, Epoch [14/20],Loss: 0.1744
Test: Epoch [14/20], Loss: 0.1683
Time: 9h 32m, Epoch [15/20],Loss: 0.1720
Time: 9h 33m, Epoch [15/20],Loss: 0.1987
Time: 9h 35m, Epoch [15/20],Loss: 0.1875
Time: 9h 36m, Epoch [15/20],Loss: 0.1849
Time: 9h 38m, Epoch [15/20],Loss: 0.2095
Time: 9h 39m, Epoch [15/20],Loss: 0.1928
Time: 9h 40m, Epoch [15/20],Loss: 0.1936
Time: 9h 42m, Epoch [15/20],Loss: 0.1903
Time: 9h 43m, Epoch [15/20],Loss: 0.2082
Time: 9h 44m, Epoch [15/20],Loss: 0.2091
Time: 9h 46m, Epoch [15/20],Loss: 0.1868
Time: 9h 47m, Epoch [15/20],Loss: 0.1678
Time: 9h 48m, Epoch [15/20],Loss: 0.2052
Time: 9h 50m, Epoch [15/20],Loss: 0.2418
Time: 9h 51m, Epoch [15/20],Loss: 0.1464
Time: 9h 52m, Epoch [15/20],Loss: 0.2059
Time: 9h 54m, Epoch [15/20],Loss: 0.1797
Time: 9h 55m, Epoch [15/20],Loss: 0.1445
Time: 9h 56m, Epoch [15/20],Loss: 0.2047
Time: 9h 58m, Epoch [15/20],Loss: 0.2290
Time: 9h 59m, Epoch [15/20],Loss: 0.2211
Time: 10h 0m, Epoch [15/20],Loss: 0.1381
Time: 10h 2m, Epoch [15/20],Loss: 0.1938
Time: 10h 3m, Epoch [15/20],Loss: 0.2117
Time: 10h 5m, Epoch [15/20],Loss: 0.1706
Time: 10h 6m, Epoch [15/20],Loss: 0.2222
Test: Epoch [15/20], Loss: 0.1682
Time: 10h 10m, Epoch [16/20],Loss: 0.2488
Time: 10h 11m, Epoch [16/20],Loss: 0.1830
Time: 10h 12m, Epoch [16/20],Loss: 0.2161
Time: 10h 14m, Epoch [16/20],Loss: 0.1951
Time: 10h 15m, Epoch [16/20],Loss: 0.1898
Time: 10h 17m, Epoch [16/20],Loss: 0.1742
Time: 10h 18m, Epoch [16/20],Loss: 0.1661
Time: 10h 19m, Epoch [16/20],Loss: 0.1800
Time: 10h 21m, Epoch [16/20],Loss: 0.1974
Time: 10h 22m, Epoch [16/20],Loss: 0.2060
Time: 10h 23m, Epoch [16/20],Loss: 0.1672
Time: 10h 25m, Epoch [16/20],Loss: 0.1656
Time: 10h 26m, Epoch [16/20],Loss: 0.2061
Time: 10h 27m, Epoch [16/20],Loss: 0.1644
Time: 10h 29m, Epoch [16/20],Loss: 0.1942
Time: 10h 30m, Epoch [16/20],Loss: 0.2064
Time: 10h 31m, Epoch [16/20],Loss: 0.1877
Time: 10h 33m, Epoch [16/20],Loss: 0.1584
Time: 10h 34m, Epoch [16/20],Loss: 0.2231
Time: 10h 35m, Epoch [16/20],Loss: 0.1959
Time: 10h 37m, Epoch [16/20],Loss: 0.1992
Time: 10h 38m, Epoch [16/20],Loss: 0.2004
Time: 10h 39m, Epoch [16/20],Loss: 0.2194
Time: 10h 41m, Epoch [16/20],Loss: 0.1771
Time: 10h 42m, Epoch [16/20],Loss: 0.1920
Time: 10h 43m, Epoch [16/20],Loss: 0.1884
Test: Epoch [16/20], Loss: 0.1681
Time: 10h 47m, Epoch [17/20],Loss: 0.1783
Time: 10h 48m, Epoch [17/20],Loss: 0.1735
Time: 10h 50m, Epoch [17/20],Loss: 0.2195
Time: 10h 52m, Epoch [17/20],Loss: 0.2465
Time: 10h 53m, Epoch [17/20],Loss: 0.1890
Time: 10h 54m, Epoch [17/20],Loss: 0.1745
Time: 10h 56m, Epoch [17/20],Loss: 0.1763
Time: 10h 57m, Epoch [17/20],Loss: 0.1960
Time: 10h 58m, Epoch [17/20],Loss: 0.1870
Time: 11h 0m, Epoch [17/20],Loss: 0.1884
Time: 11h 1m, Epoch [17/20],Loss: 0.1957
Time: 11h 2m, Epoch [17/20],Loss: 0.2239
Time: 11h 4m, Epoch [17/20],Loss: 0.1453
Time: 11h 5m, Epoch [17/20],Loss: 0.1894
Time: 11h 6m, Epoch [17/20],Loss: 0.1680
Time: 11h 8m, Epoch [17/20],Loss: 0.2085
Time: 11h 9m, Epoch [17/20],Loss: 0.1849
Time: 11h 11m, Epoch [17/20],Loss: 0.1918
Time: 11h 12m, Epoch [17/20],Loss: 0.1653
Time: 11h 13m, Epoch [17/20],Loss: 0.1833
Time: 11h 15m, Epoch [17/20],Loss: 0.1990
Time: 11h 16m, Epoch [17/20],Loss: 0.1841
Time: 11h 17m, Epoch [17/20],Loss: 0.2079
Time: 11h 19m, Epoch [17/20],Loss: 0.2100
Time: 11h 20m, Epoch [17/20],Loss: 0.1891
Time: 11h 22m, Epoch [17/20],Loss: 0.2134
Test: Epoch [17/20], Loss: 0.1679
Time: 11h 25m, Epoch [18/20],Loss: 0.1971
Time: 11h 27m, Epoch [18/20],Loss: 0.1790
Time: 11h 28m, Epoch [18/20],Loss: 0.1918
Time: 11h 29m, Epoch [18/20],Loss: 0.1839
Time: 11h 31m, Epoch [18/20],Loss: 0.1916
Time: 11h 32m, Epoch [18/20],Loss: 0.1794
Time: 11h 33m, Epoch [18/20],Loss: 0.1762
Time: 11h 35m, Epoch [18/20],Loss: 0.2139
Time: 11h 36m, Epoch [18/20],Loss: 0.1890
Time: 11h 38m, Epoch [18/20],Loss: 0.1868
Time: 11h 39m, Epoch [18/20],Loss: 0.1870
Time: 11h 40m, Epoch [18/20],Loss: 0.2184
Time: 11h 41m, Epoch [18/20],Loss: 0.2194
Time: 11h 43m, Epoch [18/20],Loss: 0.2131
Time: 11h 44m, Epoch [18/20],Loss: 0.1521
Time: 11h 45m, Epoch [18/20],Loss: 0.2000
Time: 11h 47m, Epoch [18/20],Loss: 0.1914
Time: 11h 48m, Epoch [18/20],Loss: 0.1869
Time: 11h 49m, Epoch [18/20],Loss: 0.1862
Time: 11h 51m, Epoch [18/20],Loss: 0.1726
Time: 11h 52m, Epoch [18/20],Loss: 0.1773
Time: 11h 54m, Epoch [18/20],Loss: 0.1949
Time: 11h 55m, Epoch [18/20],Loss: 0.1871
Time: 11h 56m, Epoch [18/20],Loss: 0.2260
Time: 11h 57m, Epoch [18/20],Loss: 0.1522
Time: 11h 59m, Epoch [18/20],Loss: 0.1693
Test: Epoch [18/20], Loss: 0.1679
Time: 12h 2m, Epoch [19/20],Loss: 0.2174
